,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
457,7,10,13,3.5715919419776965,2.3322191149203793,5.007295577454962,-0.9089660463249608,-0.6899520355309156,0.29065048073228733
458,7,10,14,3.5715919419776965,3.5397406684671084,6.305556993636644,-0.9089660463249608,-0.9217806110175106,0.999749764259551
459,7,10,15,3.5715919419776965,2.7663625937320653,4.3409612990672946,-0.9089660463249608,-0.9304233326823877,-0.3629461293102071
460,7,10,16,3.5715919419776965,2.402117815595231,3.096187817300496,-0.9089660463249608,-0.7388225672722095,-0.9989693774998972
461,7,11,12,3.8250388233323847,2.2694953183472357,4.702560260113634,-0.7754011782906741,-0.6432220761628643,-0.009828562023293927
462,7,11,13,3.8250388233323847,3.4712967317704235,5.007295577454962,-0.7754011782906741,-0.9461381935071713,0.29065048073228733
463,7,11,14,3.8250388233323847,4.558288384909406,6.305556993636644,-0.7754011782906741,-0.15349141492847201,0.999749764259551
464,7,11,15,3.8250388233323847,4.004083041096928,4.3409612990672946,-0.7754011782906741,-0.650548125246604,-0.3629461293102071
465,7,11,16,3.8250388233323847,3.518694218030322,3.096187817300496,-0.7754011782906741,-0.9297358223295418,-0.9989693774998972
466,7,12,13,4.702560260113634,1.334469932220279,5.007295577454962,-0.009828562023293927,0.23413271805733255,0.29065048073228733
467,7,12,14,4.702560260113634,2.289044342078147,6.305556993636644,-0.009828562023293927,-0.6580665085238463,0.999749764259551
468,7,12,15,4.702560260113634,2.412521916998889,4.3409612990672946,-0.009828562023293927,-0.7457937780657458,-0.3629461293102071
469,7,12,16,4.702560260113634,2.751724913576936,3.096187817300496,-0.009828562023293927,-0.9249593354824822,-0.9989693774998972
470,7,13,14,5.007295577454962,1.3381681508689378,6.305556993636644,0.29065048073228733,0.23053569981341657,0.999749764259551
471,7,13,15,5.007295577454962,1.4257994248841608,4.3409612990672946,0.29065048073228733,0.14448936413220917,-0.3629461293102071
472,7,13,16,5.007295577454962,2.365769642209487,3.096187817300496,0.29065048073228733,-0.7138449178722293,-0.9989693774998972
473,7,14,15,6.305556993636644,2.3980496241737788,4.3409612990672946,0.999749764259551,-0.7360749068078081,-0.3629461293102071
474,7,14,16,6.305556993636644,3.59059020218125,3.096187817300496,0.999749764259551,-0.9008826816584031,-0.9989693774998972
475,7,15,16,4.3409612990672946,1.338229427265743,3.096187817300496,-0.3629461293102071,0.23047607353295727,-0.9989693774998972
476,8,9,10,1.5000043333270756,1.402132661341289,2.5117565566750324,0.07073287919500554,0.16786512742452592,-0.8081240601016838
477,8,9,11,1.5000043333270756,2.2799923245484863,2.762980274992929,0.07073287919500554,-0.6512238357562826,-0.9291784385249969
478,8,9,12,1.5000043333270756,2.377300990619405,3.7506971352003373,0.07073287919500554,-0.721872726022373,-0.8201607024625039
479,8,9,13,1.5000043333270756,2.7050822538325905,4.205015695571186,0.07073287919500554,-0.9062325099489531,-0.48588311414604846
480,8,9,14,1.5000043333270756,4.043187356529498,5.543062059908765,0.07073287919500554,-0.6203600046736052,0.7383854489763142
481,8,9,15,1.5000043333270756,2.352245310336488,3.717609043457907,0.07073287919500554,-0.7043087825698406,-0.8386391208815646
482,8,9,16,1.5000043333270756,1.3643012863733583,2.4769596282539634,0.07073287919500554,0.20503066760540342,-0.787143177204152
483,8,10,11,2.5117565566750324,1.2385382513269452,2.762980274992929,-0.8081240601016838,0.32617843545509523,-0.9291784385249969
